judet,localitate,url,dns_ok,http_status,final_url,https_ok,is_primarie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
ALBA,HOPARTA,https://www.primariahopirta.ro,yes,200,https://www.primariahopirta.ro,yes,yes,wordpress,https://www.primariahopirta.ro/feed/,yes,2026-01-01,2020,
ALBA,CIURULEASA,https://primariaciuruleasa.ro,yes,200,https://primariaciuruleasa.ro,yes,yes,wordpress,https://primariaciuruleasa.ro/index.php/feed/,yes,2026-01-01,,
ALBA,MIRASLAU,https://www.primariamiraslau.ro,yes,200,https://www.primariamiraslau.ro,yes,yes,wordpress,https://www.primariamiraslau.ro/feed/,yes,2026-01-01,2024,
ALBA,FARAU,https://www.primariafarau.ro,yes,200,https://www.primariafarau.ro,yes,yes,wordpress,https://www.primariafarau.ro/feed/,yes,2026-01-01,2024,
ALBA,NOSLAC,https://www.primarianoslac.ro,yes,200,https://www.primarianoslac.ro,yes,yes,wordpress,https://www.primarianoslac.ro/feed/,yes,2027-01-01,,
ALBA,CERGAU,https://www.primariacergau.ro,yes,200,https://www.primariacergau.ro,yes,yes,wordpress,https://www.primariacergau.ro/feed/,yes,2026-01-01,2026,
ALBA,MIHALT,https://www.primariamihalt.ro,yes,200,https://www.primariamihalt.ro,yes,yes,wordpress,https://www.primariamihalt.ro/feed/,yes,2026-01-01,,
ALBA,DAIA ROMANA,https://primariadaiaromana.ro,yes,200,https://primariadaiaromana.ro,yes,yes,wordpress,https://primariadaiaromana.ro/feed/,yes,2025-01-01,,
ALBA,DOSTAT,https://comuna-dostat.ro,yes,200,https://comuna-dostat.ro,yes,yes,wordpress,https://comuna-dostat.ro/feed/,yes,2026-01-01,2026,
ALBA,BISTRA,https://bistra.ro,yes,200,https://bistra.ro,yes,yes,wordpress,https://bistra.ro/feed/,yes,2026-01-01,,
ALBA,SIBOT,https://primaria-sibot.ro,yes,200,https://primaria-sibot.ro,yes,yes,wordpress,https://primaria-sibot.ro/feed/,yes,2025-01-01,,
